filename,duration_sec,rms_db,silence_ratio,clipping_ratio,zero_crossing_rate,quality_score,quality
Yali Good News 011 Picture 11 Sacrifice for Sin 31721_004.wav,15.0,-23.078195291657615,0.3283582089552239,0.0,0.08546067097547974,100,GOOD
Yali Good News 011 Picture 11 Sacrifice for Sin 31721_003.wav,15.0,-21.589133130296872,0.27505330490405117,0.0,0.09432261127398721,100,GOOD
Yali Good News 011 Picture 11 Sacrifice for Sin 31721_002.wav,15.0,-21.9373907465833,0.2771855010660981,0.0,0.09701804870735607,100,GOOD
Yali Good News 011 Picture 11 Sacrifice for Sin 31721_001.wav,15.0,-22.60742580418099,0.32409381663113007,0.0,0.10863164645522388,100,GOOD
Yali Good News 010 Picture 10 The Ten Commandments 31721_005.wav,9.33475,-20.87564111623026,0.10273972602739725,0.0,0.0797119140625,100,GOOD
Yali Good News 010 Picture 10 The Ten Commandments 31721_004.wav,15.0,-22.0070159561688,0.2537313432835821,0.0,0.11648995535714286,100,GOOD
Yali Good News 010 Picture 10 The Ten Commandments 31721_001.wav,15.0,-21.281118175178463,0.2622601279317697,0.0,0.10644427138859275,100,GOOD
Yali Good News 009 Picture 9 Moses and the Law of God 31721_004.wav,15.0,-21.183900479600524,0.17484008528784648,0.0,0.08648928904584222,100,GOOD
Yali Good News 015 Picture 15 Miracles of Jesus 31721_002.wav,15.0,-22.013987728693017,0.29850746268656714,0.0,0.10527926772388059,100,GOOD
Yali Good News 015 Picture 15 Miracles of Jesus 31721_001.wav,15.0,-21.723346269145352,0.18976545842217485,0.0,0.12016716084754797,100,GOOD
Yali Good News 014 Picture 14 Jesus the Teacher 31721_005.wav,11.7613125,-21.461132871638195,0.11956521739130435,0.0,0.08221435546875,100,GOOD
Yali Good News 014 Picture 14 Jesus the Teacher 31721_004.wav,15.0,-22.712418379256512,0.3390191897654584,0.0,0.12154455123933902,100,GOOD
Yali Good News 014 Picture 14 Jesus the Teacher 31721_003.wav,15.0,-21.966593564400906,0.2921108742004264,0.0,0.11118445162579957,100,GOOD
Yali Good News 014 Picture 14 Jesus the Teacher 31721_002.wav,15.0,-22.628370680321193,0.3091684434968017,0.0,0.15404076159381663,100,GOOD
Yali Good News 014 Picture 14 Jesus the Teacher 31721_001.wav,15.0,-22.72417052553772,0.23880597014925373,0.0,0.13074485274520256,100,GOOD
Yali Good News 013 Picture 13 The Birth of Jesus 31721_004.wav,12.0714375,-21.110698866287244,0.21164021164021163,0.0,0.06920288731812169,100,GOOD
Yali Good News 013 Picture 13 The Birth of Jesus 31721_003.wav,15.0,-22.09103402694612,0.302771855010661,0.0,0.13097389725479744,100,GOOD
Yali Good News 013 Picture 13 The Birth of Jesus 31721_001.wav,15.0,-21.566642735428722,0.22388059701492538,0.0,0.12193913246268656,100,GOOD
Yali Good News 012 Picture 12 A Saviour Promised 31721_007.wav,9.1986875,-21.966722607401397,0.11458333333333333,0.0,0.06807115342881945,100,GOOD
Yali Good News 012 Picture 12 A Saviour Promised 31721_006.wav,15.0,-22.391502811722425,0.3283582089552239,0.0,0.08466109741471216,100,GOOD
Yali Good News 012 Picture 12 A Saviour Promised 31721_005.wav,15.0,-22.17525089600636,0.34328358208955223,0.0,0.09503264925373134,100,GOOD
Yali Good News 012 Picture 12 A Saviour Promised 31721_003.wav,15.0,-21.302350308942223,0.2515991471215352,0.0,0.10891274653518124,100,GOOD
Yali Good News 019 Picture 19 Thomas Believes 31721_003.wav,15.0,-23.50997445405973,0.34754797441364604,0.0,0.12243990704957355,100,GOOD
Yali Good News 019 Picture 19 Thomas Believes 31721_001.wav,15.0,-21.08547949158542,0.14285714285714285,0.0,0.1382866637793177,100,GOOD
Yali Good News 018 Picture 18 The Resurrection 31721_004.wav,11.621625,-22.06871681582879,0.09340659340659341,0.0,0.08174284211881869,100,GOOD
Yali Good News 018 Picture 18 The Resurrection 31721_003.wav,15.0,-22.83044193780195,0.34968017057569295,0.0,0.11780279684168443,100,GOOD
Yali Good News 018 Picture 18 The Resurrection 31721_002.wav,15.0,-22.19367496237244,0.26865671641791045,0.0,0.12423478311567164,100,GOOD
Yali Good News 018 Picture 18 The Resurrection 31721_001.wav,15.0,-21.550996703719505,0.2046908315565032,0.0,0.1126055686966951,100,GOOD
Yali Good News 017 Picture 17 Jesus is Crucified 31721_004.wav,11.0680625,-21.323443792005577,0.11560693641618497,0.0,0.08952622606575145,100,GOOD
Yali Good News 017 Picture 17 Jesus is Crucified 31721_003.wav,15.0,-21.695374169478754,0.279317697228145,0.0,0.11530933502132196,100,GOOD
Yali Good News 017 Picture 17 Jesus is Crucified 31721_002.wav,15.0,-22.71806061081928,0.34541577825159914,0.0,0.15189711320628999,100,GOOD
Yali Good News 017 Picture 17 Jesus is Crucified 31721_001.wav,15.0,-22.623554040393586,0.2302771855010661,0.0,0.13901440065298507,100,GOOD
Yali Good News 016 Picture 16 Jesus Suffers 31721_004.wav,15.0,-21.863284465761417,0.14712153518123666,0.0,0.09239967850479744,100,GOOD
Yali Good News 016 Picture 16 Jesus Suffers 31721_001.wav,15.0,-21.413849396034053,0.18336886993603413,0.0,0.1130667810501066,100,GOOD
Yali Good News 015 Picture 15 Miracles of Jesus 31721_003.wav,11.3825625,-20.492037915629027,0.13202247191011235,0.0,0.08919087956460674,100,GOOD
Yali Good News 022 Picture 22 The Two Roads 31721_003.wav,15.0,-22.321007399662342,0.2857142857142857,0.0,0.12251903151652452,100,GOOD
Yali Good News 022 Picture 22 The Two Roads 31721_002.wav,15.0,-22.27226507454336,0.32409381663113007,0.0,0.09850579690831557,100,GOOD
Yali Good News 022 Picture 22 The Two Roads 31721_001.wav,15.0,-22.149601921196428,0.27078891257995735,0.0,0.10155104777452026,100,GOOD
Yali Good News 021 Picture 21 The Empty Cross 31721_006.wav,14.810625,-22.062567506780525,0.20302375809935205,0.0,0.08716927645788337,100,GOOD
Yali Good News 021 Picture 21 The Empty Cross 31721_005.wav,15.0,-21.63282099558236,0.29850746268656714,0.0,0.12088969216417911,100,GOOD
Yali Good News 021 Picture 21 The Empty Cross 31721_004.wav,15.0,-22.720357300043382,0.326226012793177,0.0,0.1125108275586354,100,GOOD
Yali Good News 021 Picture 21 The Empty Cross 31721_001.wav,15.0,-21.848745344597983,0.23880597014925373,0.0,0.12322178171641791,100,GOOD
Yali Good News 020 Picture 20 The Ascension 31721_006.wav,6.0856875,-21.34656145657628,0.0,0.0,0.07354896106020943,100,GOOD
Yali Good News 020 Picture 20 The Ascension 31721_005.wav,15.0,-22.240413971409883,0.2345415778251599,0.0,0.09972597947761194,100,GOOD
Yali Good News 020 Picture 20 The Ascension 31721_003.wav,15.0,-22.12919187701706,0.27078891257995735,0.0,0.11410268690031983,100,GOOD
Yali Good News 020 Picture 20 The Ascension 31721_002.wav,15.0,-22.556875184365467,0.34968017057569295,0.0,0.1117112539978678,100,GOOD
Yali Good News 020 Picture 20 The Ascension 31721_001.wav,15.0,-21.245271075400247,0.1791044776119403,0.0,0.10799760960820895,100,GOOD
