filename,duration_sec,sample_rate,channels
Yali Good News 017 Picture 17 Jesus is Crucified 31721_003.wav,15.0,16000,1
Yali Good News 017 Picture 17 Jesus is Crucified 31721_004.wav,11.068,16000,1
Yali Good News 018 Picture 18 The Resurrection 31721_001.wav,15.0,16000,1
Yali Good News 018 Picture 18 The Resurrection 31721_002.wav,15.0,16000,1
Yali Good News 018 Picture 18 The Resurrection 31721_003.wav,15.0,16000,1
Yali Good News 018 Picture 18 The Resurrection 31721_004.wav,11.622,16000,1
Yali Good News 019 Picture 19 Thomas Believes 31721_001.wav,15.0,16000,1
Yali Good News 019 Picture 19 Thomas Believes 31721_002.wav,15.0,16000,1
Yali Good News 019 Picture 19 Thomas Believes 31721_003.wav,15.0,16000,1
Yali Good News 019 Picture 19 Thomas Believes 31721_004.wav,13.129,16000,1
Yali Good News 020 Picture 20 The Ascension 31721_001.wav,15.0,16000,1
Yali Good News 020 Picture 20 The Ascension 31721_002.wav,15.0,16000,1
Yali Good News 020 Picture 20 The Ascension 31721_003.wav,15.0,16000,1
Yali Good News 020 Picture 20 The Ascension 31721_004.wav,15.0,16000,1
Yali Good News 020 Picture 20 The Ascension 31721_005.wav,15.0,16000,1
Yali Good News 020 Picture 20 The Ascension 31721_006.wav,6.086,16000,1
Yali Good News 021 Picture 21 The Empty Cross 31721_001.wav,15.0,16000,1
Yali Good News 021 Picture 21 The Empty Cross 31721_002.wav,15.0,16000,1
Yali Good News 021 Picture 21 The Empty Cross 31721_003.wav,15.0,16000,1
Yali Good News 021 Picture 21 The Empty Cross 31721_004.wav,15.0,16000,1
Yali Good News 021 Picture 21 The Empty Cross 31721_005.wav,15.0,16000,1
Yali Good News 021 Picture 21 The Empty Cross 31721_006.wav,14.811,16000,1
Yali Good News 022 Picture 22 The Two Roads 31721_001.wav,15.0,16000,1
Yali Good News 022 Picture 22 The Two Roads 31721_002.wav,15.0,16000,1
Yali Good News 022 Picture 22 The Two Roads 31721_003.wav,15.0,16000,1
Yali Good News 022 Picture 22 The Two Roads 31721_004.wav,15.0,16000,1
Yali Good News 022 Picture 22 The Two Roads 31721_005.wav,15.0,16000,1
Yali Good News 022 Picture 22 The Two Roads 31721_006.wav,15.0,16000,1
Yali Good News 022 Picture 22 The Two Roads 31721_007.wav,13.914,16000,1
Yali Good News 023 Picture 23 God's Children 31721_001.wav,15.0,16000,1
Yali Good News 023 Picture 23 God's Children 31721_002.wav,15.0,16000,1
Yali Good News 023 Picture 23 God's Children 31721_003.wav,15.0,16000,1
Yali Good News 023 Picture 23 God's Children 31721_004.wav,15.0,16000,1
Yali Good News 023 Picture 23 God's Children 31721_005.wav,5.745,16000,1
Yali Good News 024 Picture 24 Born Again 31721_001.wav,15.0,16000,1
Yali Good News 024 Picture 24 Born Again 31721_002.wav,15.0,16000,1
Yali Good News 024 Picture 24 Born Again 31721_003.wav,15.0,16000,1
Yali Good News 024 Picture 24 Born Again 31721_004.wav,15.0,16000,1
Yali Good News 024 Picture 24 Born Again 31721_005.wav,15.0,16000,1
Yali Good News 024 Picture 24 Born Again 31721_006.wav,8.948,16000,1
Yali Good News 025 Picture 25 The Holy Spirit Comes 31721_001.wav,15.0,16000,1
Yali Good News 025 Picture 25 The Holy Spirit Comes 31721_002.wav,15.0,16000,1
Yali Good News 025 Picture 25 The Holy Spirit Comes 31721_003.wav,15.0,16000,1
Yali Good News 025 Picture 25 The Holy Spirit Comes 31721_004.wav,15.0,16000,1
Yali Good News 025 Picture 25 The Holy Spirit Comes 31721_005.wav,15.0,16000,1
Yali Good News 025 Picture 25 The Holy Spirit Comes 31721_006.wav,5.528,16000,1
Yali Good News 026 Picture 26 Walking in the Light 31721_001.wav,15.0,16000,1
Yali Good News 026 Picture 26 Walking in the Light 31721_002.wav,15.0,16000,1
Yali Good News 026 Picture 26 Walking in the Light 31721_003.wav,15.0,16000,1
Yali Good News 026 Picture 26 Walking in the Light 31721_004.wav,14.651,16000,1
Yali Good News 027 Picture 27 A New Person 31721_001.wav,15.0,16000,1
Yali Good News 027 Picture 27 A New Person 31721_002.wav,15.0,16000,1
Yali Good News 027 Picture 27 A New Person 31721_003.wav,15.0,16000,1
Yali Good News 028 Picture 28 The Christian Family 31721_001.wav,15.0,16000,1
Yali Good News 028 Picture 28 The Christian Family 31721_002.wav,15.0,16000,1
